pseudoID,factor_1,factor_2,factor_2a,factor_3,factor_4,factor_5,factor_5a,factor_6,factor_7,factor_8,factor_9,allRaces,race,sex,psa_court_case_eligible_booking,psa_outcome_eligible,fta_points,nca_points,nvca_points,fta_score,nca_score,nvca_score,nvca_flag,fta,nca,nvca,time_at_risk_fta,time_at_risk_nca,time_at_risk_nvca_new,race1,sex1,release
4875961487,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,204.0,204.0,204.0,0,1,1
92925993,0,1,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,276.0,276.0,276.0,1,0,1
2266185209,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,231.0,231.0,231.0,0,0,1
1073067613,0,0,0,1,1,1,1,0,0,1,0,White,White,Male,1,Detained,3,5,2,4,4,2,0,,,,,,,1,1,0
1325817687,0,1,0,0,1,1,1,2,1,1,1,Black,Non-white,Male,1,Detained,4,6,4,4,4,4,1,,,,,,,0,1,0
1048500020,0,1,0,1,0,1,1,1,2,0,0,Black,Non-white,Male,1,Released,6,7,5,5,5,5,1,0.0,1.0,1.0,444.0,66.0,66.0,0,1,1
2763925460,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,520.0,520.0,520.0,0,1,1
4918707545,0,1,0,0,1,1,1,2,0,0,1,Black,Non-white,Male,1,Detained,1,5,4,2,4,4,1,,,,,,,0,1,0
4382843242,1,1,0,0,1,1,1,0,0,0,0,Black,Non-white,Female,1,Detained,1,4,3,2,3,3,0,,,,,,,0,0,0
6902922639,0,0,0,0,1,0,1,1,0,1,0,Black,Non-white,Male,1,Detained,2,2,2,3,2,2,0,,,,,,,0,1,0
480785638,0,1,0,0,1,1,1,2,0,0,1,Black,Non-white,Female,1,Detained,1,5,4,2,4,4,1,,,,,,,0,0,0
3078967851,1,0,0,0,0,0,0,0,0,0,0,White,White,Male,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,541.0,541.0,541.0,1,1,1
6495965487,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,59.0,59.0,59.0,0,0,1
2687047812,0,0,0,0,1,1,1,0,0,1,0,Black,Non-white,Male,1,Released,2,2,1,3,2,1,0,0.0,1.0,0.0,401.0,31.0,401.0,0,1,1
4602836672,0,1,0,0,1,1,1,2,1,1,1,Black,Non-white,Male,1,Detained,4,6,4,4,4,4,1,,,,,,,0,1,0
3201470674,1,0,0,1,0,0,0,0,1,1,0,Black,Non-white,Male,1,Released,4,6,1,4,4,1,0,0.0,0.0,0.0,3.0,3.0,3.0,0,1,1
1812960749,0,0,0,0,1,0,1,1,0,0,1,Black,Non-white,Female,1,Released,1,4,2,2,3,2,0,0.0,0.0,0.0,135.0,135.0,135.0,0,0,1
448883395,0,1,0,1,1,1,1,2,2,1,1,Black,Non-white,Female,1,Detained,7,10,5,6,6,5,1,,,,,,,0,0,0
2249729287,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,540.0,540.0,540.0,0,1,1
2318377992,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,525.0,525.0,525.0,0,1,1
2052031352,0,0,0,0,1,1,1,0,0,0,0,Black,Non-white,Male,1,Released,1,2,1,2,2,1,0,1.0,0.0,0.0,22.0,539.0,539.0,0,1,1
8490776686,0,0,0,1,1,1,1,1,0,0,0,Black,Non-white,Male,1,Released,2,6,3,3,4,3,0,0.0,0.0,0.0,525.0,525.0,525.0,0,1,1
3313293537,0,1,0,0,1,1,1,2,2,1,1,Black,Non-white,Male,1,Detained,6,7,4,5,5,4,1,,,,,,,0,1,0
6342405732,0,0,0,1,0,0,0,0,0,0,0,White,White,Female,1,Released,1,3,1,2,3,1,0,1.0,1.0,0.0,47.0,47.0,263.0,1,0,1
5687684666,0,0,0,0,1,0,1,0,0,0,1,Black,Non-white,Male,1,Released,1,3,1,2,3,1,0,0.0,0.0,0.0,30.0,30.0,30.0,0,1,1
45645732,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,478.0,478.0,478.0,0,1,1
7298499946,1,0,0,0,0,0,0,0,0,0,0,White,White,Male,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,541.0,541.0,541.0,1,1,1
6714033719,0,1,0,0,1,1,1,1,0,0,1,Black,Non-white,Male,1,Released,1,5,4,2,4,4,1,0.0,0.0,0.0,324.0,324.0,324.0,0,1,1
8524937100,0,0,0,0,1,0,1,0,1,0,0,Black,Non-white,Male,1,Released,3,2,1,4,2,1,0,1.0,0.0,0.0,162.0,,,0,1,1
4561643116,0,0,0,0,1,0,1,0,1,1,0,Black,Non-white,Female,1,Released,4,2,1,4,2,1,0,0.0,1.0,0.0,228.0,125.0,228.0,0,0,1
3111205996,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,2,1,1,2,0,,,,,,,0,1,0
4216028956,0,1,0,0,1,0,1,0,0,0,0,Black,Non-white,Female,1,Released,1,1,3,2,2,3,0,1.0,0.0,0.0,431.0,529.0,529.0,0,0,1
5671641175,0,0,0,0,1,1,1,2,0,1,1,Black,Non-white,Male,1,Released,2,5,2,3,4,2,0,0.0,0.0,0.0,30.0,30.0,30.0,0,1,1
320704560,1,1,0,0,0,0,0,0,0,0,0,White,White,Male,1,Released,0,2,2,1,2,2,0,0.0,0.0,0.0,332.0,332.0,332.0,1,1,1
1795847957,0,0,0,0,0,0,0,0,2,0,0,White,White,Female,1,Released,4,2,0,4,2,1,0,0.0,0.0,0.0,540.0,540.0,540.0,1,0,1
2298155529,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Detained,0,0,0,1,1,1,0,,,,,,,0,0,0
1520350240,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,137.0,137.0,137.0,0,1,1
7705056389,1,0,0,0,1,0,1,0,1,0,0,Black,Non-white,Male,1,Released,3,4,1,4,3,1,0,0.0,1.0,1.0,521.0,147.0,147.0,0,1,1
8646197135,0,0,0,0,1,1,1,0,0,0,0,Black,Non-white,Male,1,Released,1,2,1,2,2,1,0,0.0,0.0,0.0,217.0,217.0,217.0,0,1,1
1196302431,0,0,0,0,1,0,1,0,0,1,0,Black,Non-white,Male,1,Detained,2,1,1,3,2,1,0,,,,,,,0,1,0
6414412964,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,330.0,330.0,330.0,0,1,1
1003067555,0,0,0,0,1,1,1,1,0,1,0,Black,Non-white,Male,1,Released,2,3,2,3,3,2,0,0.0,0.0,0.0,85.0,85.0,85.0,0,1,1
4952366305,0,0,0,1,1,1,1,1,2,1,1,Black,Non-white,Male,1,Released,7,10,3,6,6,3,0,0.0,0.0,0.0,50.0,50.0,50.0,0,1,1
1230949533,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,37.0,37.0,37.0,0,0,1
4670080156,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,540.0,540.0,540.0,0,0,1
2244622344,0,1,0,0,0,0,0,0,0,1,0,Black,Non-white,Female,1,Released,1,0,2,2,1,2,0,1.0,0.0,0.0,390.0,400.0,400.0,0,0,1
3203352013,0,1,0,1,1,1,1,2,0,1,1,Black,Non-white,Male,1,Detained,3,8,5,4,5,5,1,,,,,,,0,1,0
7650641534,1,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,2,2,1,2,2,0,,,,,,,0,1,0
8679331164,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,37.0,37.0,37.0,0,0,1
2694527022,0,1,0,0,1,1,1,2,0,1,0,Black,Non-white,Male,1,Detained,2,3,4,3,3,4,1,,,,,,,0,1,0
6031431189,0,0,0,1,1,1,1,1,0,1,1,Black,Non-white,Male,1,Detained,3,8,3,4,5,3,0,,,,,,,0,1,0
2856306479,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,1.0,1.0,1.0,129.0,67.0,76.0,0,1,1
7492967718,0,1,0,0,1,0,1,0,0,0,1,Black,Non-white,Male,1,Released,1,3,3,2,3,3,0,0.0,0.0,0.0,107.0,107.0,107.0,0,1,1
4043766778,0,0,0,1,1,0,1,0,0,0,0,Black,Non-white,Male,1,Detained,2,4,2,3,3,2,0,,,,,,,0,1,0
